"State","electoralVotesNumber","peoplePerElector","Pop"
"California","55","720245.4545","39613500"
"Texas","38","782376.3158","29730300"
"New York","29","665517.2414","19300000"
"Florida","29","756710.3448","21944600"
"Pennsylvania","20","640205","12804100"
"Illinois","20","628465","12569300"
"Ohio","18","650811.1111","11714600"
"Michigan","16","624526.8750","9992430"
"Georgia","16","676875","10830000"
"North Carolina","15","713400","10701000"
"New Jersey","14","633894.2857","8874520"
"Virginia","13","661844.6154","8603980"
"Washington","12","649745","7796940"
"Tennessee","11","631296.3636","6944260"
"Massachusetts","11","628385.4545","6912240"
"Indiana","11","618696.3636","6805660"
"Arizona","11","683645.4545","7520100"
"Wisconsin","10","585249","5852490"
"Missouri","10","616904","6169040"
"Minnesota","10","570640","5706400"
"Maryland","10","606544","6065440"
"South Carolina","9","586425.5556","5277830"
"Colorado","9","654847.7778","5893630"
"Alabama","9","548243.3333","4934190"
"Louisiana","8","578375","4627000"
"Kentucky","8","560088.7500","4480710"
"Oregon","7","612777.1429","4289440"
"Oklahoma","7","570062.8571","3990440"
"Connecticut","7","507545.7143","3552820"
"Utah","6","551795","3310770"
"Nevada","6","530965","3185790"
"Mississippi","6","494401.6667","2966410"
"Kansas","6","486203.3333","2917220"
"Iowa","6","527995","3167970"
"Arkansas","6","505658.3333","3033950"
"West Virginia","5","353572","1767860"
"New Mexico","5","421000","2105000"
"Nebraska","5","390400","1952000"
"Rhode Island","4","265377.5000","1061510"
"New Hampshire","4","343050","1372200"
"Maine","4","338630","1354520"
"Idaho","4","465030","1860120"
"Hawaii","4","351607.5000","1406430"
"Wyoming","3","193691.6667","581075"
"Vermont","3","207750.3333","623251"
"South Dakota","3","298860.3333","896581"
"North Dakota","3","256675.3333","770026"
"Montana","3","361666.6667","1085000"
"Delaware","3","330111.3333","990334"
"Alaska","3","241452.3333","724357"